Season,Team,Squad,Age,Foreign Players ,Total Market Value,Goals For,Goals Against,Pts,Rank,Championship,Last year's rank,Most Important Addition/Depart
2006/2007,Chelsea,37,23.2,24,403.88,64,24,83,2,0,1,64.5
2006/2007,Manchester United,33,24.2,18,228.8,83,27,89,1,1,2,12.2
2006/2007,Liverpool,34,23.6,24,222.5,57,27,68,3,0,3,36.1
2006/2007,Arsenal,35,22.8,30,221.4,63,35,68,4,0,4,10
2006/2007,Tottenham Hotspur,37,23.1,20,166.85,57,50,60,5,0,5,10.85
2006/2007,Newcastle United,30,25,19,155.2,38,47,43,13,0,7,31.5
2006/2007,Aston Villa,31,24.8,18,94.08,43,41,50,11,0,16,23.2
2006/2007,West Ham United,33,25.1,13,93.63,35,59,41,15,0,9,29.2
2006/2007,Everton ,25,25,16,91.97,52,36,58,6,0,11,11
2006/2007,Middlesbrough,32,23.2,15,88.45,44,49,46,12,0,14,8.9
2006/2007,Manchester City,29,24.4,14,87.65,29,44,42,14,0,NA,NA
2006/2007,Portsmouth,26,26.4,16,78.4,45,42,54,9,0,NA,NA
2006/2007,Fulham ,34,26.3,26,77.35,38,60,39,16,0,NA,NA
2006/2007,Charlton Athletic,36,24.7,24,74.65,34,60,34,19,0,NA,NA
2006/2007,Blackburn Rovers,29,26.6,22,72.35,52,54,52,10,0,NA,NA
2006/2007,Bolton Wanderers,34,24.6,26,62.15,47,52,56,7,0,8,12
2006/2007,Wigan Athletic,29,26,18,53.95,37,59,38,17,0,10,7.5
2006/2007,Sheffield United,36,25.1,18,26.4,32,55,38,18,0,NA,NA
2006/2007,Reading ,34,24,23,23.5,52,47,55,8,0,NA,NA
2006/2007,Watford,41,23.1,20,18.75,29,59,28,20,0,NA,NA
2007/2008,Chelsea,37,24.6,22,423.15,65,26,85,2,0,2,-1
2007/2008,Manchester United,33,24.2,19,318.4,80,22,87,1,1,1,82.2
2007/2008,Liverpool,40,22.5,25,258.4,67,28,76,4,0,3,55.25
2007/2008,Arsenal,32,22.3,28,212.43,74,31,83,3,0,4,-22.5
2007/2008,Tottenham Hotspur,34,23.7,20,194.18,66,61,46,11,0,5,51.45
2007/2008,Newcastle United,29,25.1,19,131.3,45,65,43,12,0,5,64.45
2007/2008,Everton ,29,24.4,15,111.9,55,33,65,5,0,6,16.5
2007/2008,West Ham United,33,25,13,106.25,42,50,49,10,0,15,12
2007/2008,Portsmouth,28,25.4,19,96.5,48,40,57,8,0,NA,NA
2007/2008,Manchester City,30,23.6,19,89.2,45,53,55,9,0,14,38
2007/2008,Middlesbrough,30,23.6,14,86.07,43,53,42,13,0,12,17
2007/2008,Aston Villa,24,24.3,10,83.9,71,51,60,6,0,11,12.5
2007/2008,Fulham ,38,26.7,30,74.72,38,60,36,17,0,NA,NA
2007/2008,Bolton Wanderers,30,25.8,21,65.63,36,54,37,16,0,NA,NA
2007/2008,Blackburn Rovers,37,24.3,30,65.2,50,48,58,7,0,NA,NA
2007/2008,Birmingham City,26,24.1,16,64.45,46,62,35,19,0,NA,NA
2007/2008,Wigan Athletic,29,25.5,19,58.55,34,51,40,14,0,NA,NA
2007/2008,Derby County,41,25.8,23,50.57,20,89,11,20,0,NA,NA
2007/2008,Sunderland AFC,42,24.2,31,50.43,36,59,39,15,0,NA,NA
2007/2008,Reading ,43,23.9,30,39.28,41,66,36,18,0,NA,NA
2008/2009,Chelsea,28,25.6,21,406.7,68,24,83,3,0,2,20.5
2008/2009,Manchester United,31,24.3,20,356.1,68,24,90,1,1,1,38
2008/2009,Liverpool,28,23.9,24,257.23,77,27,86,2,0,4,46.5
2008/2009,Manchester City,32,24,20,206.8,58,50,50,10,0,9,100.5
2008/2009,Arsenal,38,21.3,30,250.5,68,37,72,4,0,3,-12.5
2008/2009,Tottenham Hotspur,35,22.5,18,212.6,45,45,51,8,0,11,86.6
2008/2009,Everton ,28,24.4,15,162.55,55,37,63,5,0,5,21.76
2008/2009,Aston Villa,21,25.4,8,111.8,54,48,62,6,0,6,15
2008/2009,Sunderland AFC,31,24.9,21,91.28,34,54,36,16,0,NA,NA
2008/2009,West Ham United,26,24.3,14,80.55,42,45,51,9,0,NA,NA
2008/2009,Portsmouth,31,26.8,19,131.5,38,57,41,14,0,8,13.7
